Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z,MSE_X,MSE_Z
0,0.03493016366271263,0.9985522867112625,1.110223e-16,-2.220446e-16,0.03493016366271252,0.9985522867112627,748.7755660368097,613.0367278804085
1,0.15665641664433458,1.9909809643345238,0.05154656,1.000725,0.10510985664433459,0.9902559643345237,748.7755660368097,613.0367278804085
2,0.2863320501598271,2.9821652481326595,0.1464632,1.995659,0.1398688501598271,0.9865062481326594,748.7755660368097,613.0367278804085
3,0.44937982354315903,3.9685132413907613,0.2879204,2.986691,0.161459423543159,0.9818222413907614,748.7755660368097,613.0367278804085
4,0.6407800225708888,4.950007674870672,0.4657503,3.963845,0.17502972257088883,0.9861626748706716,748.7755660368097,613.0367278804085
5,0.8911565804643982,5.917909378273306,0.6971645,4.934639,0.1939920804643982,0.9832703782733061,748.7755660368097,613.0367278804085
6,1.3619758690293655,6.792177147412242,0.9715689,5.887651,0.39040696902936556,0.9045261474122421,748.7755660368097,613.0367278804085
7,1.7595363569139093,7.709726322862779,1.288079,6.826202,0.47145735691390933,0.8835243228627787,748.7755660368097,613.0367278804085
8,2.1531918587296994,8.628356785672848,1.651331,7.743952,0.5018608587296993,0.8844047856728476,748.7755660368097,613.0367278804085
9,2.5404133443221415,9.548032012510843,2.050498,8.64624,0.48991534432214134,0.9017920125108425,748.7755660368097,613.0367278804085
10,2.9876571365360935,10.442036767518816,2.488685,9.527392,0.49897213653609374,0.9146447675188156,748.7755660368097,613.0367278804085
11,3.531057537587251,11.280281127682427,2.966292,10.38417,0.5647655375872507,0.8961111276824276,748.7755660368097,613.0367278804085
12,4.212521088484801,11.993717601264708,3.483068,11.2156,0.7294530884848007,0.7781176012647073,748.7755660368097,613.0367278804085
13,4.815596694725201,12.790878603781074,4.03669,12.01878,0.778906694725201,0.7720986037810746,748.7755660368097,613.0367278804085
14,5.4334417003066715,13.577108581253013,4.631439,12.79006,0.8020027003066712,0.7870485812530124,748.7755660368097,613.0367278804085
15,6.115500150246739,14.307261601904555,5.252124,13.53058,0.8633761502467392,0.7766816019045546,748.7755660368097,613.0367278804085
16,6.789355640964499,15.044237966559043,5.913461,14.23731,0.875894640964499,0.8069279665590425,748.7755660368097,613.0367278804085
17,7.523423237259907,15.72220471241186,6.602643,14.91216,0.9207802372599074,0.8100447124118606,748.7755660368097,613.0367278804085
18,8.274953220092558,16.381562262119353,7.315983,15.55483,0.9589702200925574,0.8267322621193518,748.7755660368097,613.0367278804085
19,9.065165067898512,16.993947461547624,8.059654,16.155,1.005511067898512,0.8389474615476225,748.7755660368097,613.0367278804085
20,9.911812822964329,17.46783565444844,8.824947,16.72174,1.086865822964329,0.746095654448439,748.7755660368097,613.0367278804085
21,10.80421218965638,17.900739228452306,9.617499,17.24835,1.1867131896563787,0.6523892284523072,748.7755660368097,613.0367278804085
22,11.708311201378416,18.26938434938685,10.43572,17.73582,1.2725912013784164,0.5335643493868503,748.7755660368097,613.0367278804085
23,12.613968957494013,18.69154906939801,11.27339,18.18861,1.3405789574940137,0.5029390693980105,748.7755660368097,613.0367278804085
24,12.567515291600769,18.758306930168295,12.13844,18.60541,0.4290752916007694,0.1528969301682963,748.7755660368097,613.0367278804085
