Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z
0,-0.05644232134540679,0.9983846878455278,-5.551115e-17,2.220446e-16,0.056442321345406735,0.9983846878455276
1,-0.024299149250932184,1.9979423030611363,0.001289128,1.310643,0.025588277250932184,0.6872993030611363
2,-0.080798073779671,2.9966105029516887,0.0004448326,2.625299,0.081242906379671,0.3713115029516887
3,-0.07052307391251444,3.996008496683649,0.002037581,3.94173,0.07256065491251444,0.054278496683648925
4,-0.04591466026944288,4.9952738168061686,0.002777892,5.261017,0.04869255226944288,0.2657431831938313
5,-0.06347651374749683,5.995027037668655,0.004157928,6.581638,0.06763444174749683,0.5866109623313447
6,-0.10271318732976445,6.993926543143969,0.007571022,7.908775,0.11028420932976445,0.9148484568560313
7,-0.13780045042161787,7.993113579003656,0.008323818,9.238962,0.14612426842161788,1.245848420996345
8,-0.2012937088470147,8.990212071811651,0.007728339,10.56963,0.2090220478470147,1.5794179281883487
9,-0.22048817347359206,9.989922626047385,0.006780918,11.90426,0.22726909147359206,1.9143373739526162
10,-0.21841883146045898,10.989356412340074,0.003419395,13.24208,0.22183822646045898,2.2527235876599256
11,-0.37931098015387077,11.975478935710068,-0.001862182,14.58048,0.3774487981538708,2.6050010642899313
12,-0.49588843714092445,12.967229735735158,-0.005851755,15.93066,0.49003668214092444,2.963430264264842
13,-0.5364308607121019,13.96450408595606,-0.004267715,17.28222,0.5321631457121019,3.317715914043939
14,-0.5442607132617614,14.963812739305501,0.000482789,18.63469,0.5447435022617614,3.670877260694498
15,-0.607547048889386,15.960462467812839,0.005006086,19.9867,0.612553134889386,4.02623753218716
16,-0.6069942557855849,16.9575787809515,0.004134686,21.34127,0.6111289417855849,4.383691219048501
17,-0.6547572674995169,17.954609368264578,-0.0007654745,22.70575,0.6539917929995169,4.751140631735421
18,-0.6980473455437465,18.95153214714986,-0.007369324,24.0721,0.6906780215437465,5.12056785285014
19,-0.7342936563916451,19.948850585917235,-0.009719264,25.44868,0.7245743923916451,5.499829414082765
20,-0.7676169704081961,20.947263978256796,-0.005061181,26.8203,0.7625557894081961,5.873036021743204
21,-0.8629373628707437,21.941798376116097,0.001962273,28.19472,0.8648996358707437,6.252921623883903
22,-0.8465676214119526,22.939830641691465,0.005281593,29.57012,0.8518492144119526,6.630289358308534
