Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z
0,-0.011513048022883486,0.9997185924539554,-5.551115e-17,2.220446e-16,0.011513048022883431,0.9997185924539552
1,0.0065773858277139805,1.9993867051437992,0.001289128,1.310643,0.00528825782771398,0.6887437051437992
2,-0.8518529605610966,1.4924481956850855,0.0004448326,2.625299,0.8522977931610966,1.1328508043149146
3,-0.8524062801750721,2.491854308130674,0.002037581,3.94173,0.8544438611750721,1.4498756918693263
4,-0.8827611523781211,3.4889283097501433,0.002777892,5.261017,0.8855390443781211,1.7720886902498565
5,-0.8643423366893115,4.485801456232203,0.004157928,6.581638,0.8685002646893115,2.0958365437677973
6,-0.9119162766738784,5.483486898625043,0.007571022,7.908775,0.9194872986738785,2.4252881013749574
7,-0.9138905487815722,6.4828606500670265,0.008323818,9.238962,0.9222143667815722,2.7561013499329743
8,-0.7130163112593361,7.460570525171258,0.007728339,10.56963,0.7207446502593361,3.109059474828742
9,-0.707535711137779,8.460065028277947,0.006780918,11.90426,0.714316629137779,3.4441949717220535
10,-0.7100816526798318,9.459381207021833,0.003419395,13.24208,0.7135010476798318,3.7826987929781666
11,-0.6474127145435545,10.437558489553014,-0.001862182,14.58048,0.6455505325435545,4.142921510446985
12,-1.179709605580257,11.275982715592319,-0.005851755,15.93066,1.173857850580257,4.654677284407681
13,-1.175562710708319,12.275841265354025,-0.004267715,17.28222,1.1712949957083192,5.006378734645974
14,-1.169873498607747,13.275811725297423,0.000482789,18.63469,1.1703562876077471,5.358878274702576
15,-1.1538561423322382,14.275078691544607,0.005006086,19.9867,1.1588622283322383,5.711621308455392
16,-1.158324399993669,15.273785631433206,0.004134686,21.34127,1.162459085993669,6.067484368566795
17,-1.1937079938868138,16.26946981698622,-0.0007654745,22.70575,1.1929425193868137,6.436280183013778
18,-1.5260939931984479,15.40825166503569,-0.007369324,24.0721,1.518724669198448,8.663848334964309
19,-2.0098414276889063,16.280287143020573,-0.009719264,25.44868,2.000122163688906,9.168392856979427
20,-2.7580260078658405,15.617188171288344,-0.005061181,26.8203,2.7529648268658407,11.203111828711656
21,-2.560066336699516,14.645026395419801,0.001962273,28.19472,2.5620286096995164,13.549693604580199
22,-3.411165939774975,14.166370376207059,0.005281593,29.57012,3.416447532774975,15.40374962379294
23,-3.319455167646195,15.161608961081162,0.007939024,30.94984,3.3273941916461953,15.788231038918836
24,-3.1478039604774453,16.145261984940785,0.006827076,32.33531,3.1546310364774452,16.190048015059215
25,-2.9590631075800324,17.12577606018644,0.008305167,33.7178,2.9673682745800325,16.592023939813558
26,-2.835768650137514,18.116278825784363,0.0101734,35.11083,2.845942050137514,16.994551174215637
27,-2.6495764018963803,19.09447987645812,0.0121194,36.50789,2.6616958018963803,17.413410123541883
28,-2.4336249412874342,20.070865894013856,0.01511478,37.90589,2.4487397212874344,17.835024105986143
29,-2.2730336735337873,21.057865936536906,0.01696851,39.30156,2.290002183533787,18.243694063463096
30,-2.0880631165347534,22.040573986126006,0.01942949,40.70437,2.1074926065347532,18.66379601387399
31,-1.9388155201107968,23.02928219872023,0.01916344,42.111,1.9579789601107969,19.081717801279765
32,-1.7255852603469495,24.006051061796136,0.02134431,43.51858,1.7469295703469494,19.512528938203864
33,-1.5986874852334316,24.99655027883165,0.02622364,44.92821,1.6249111252334316,19.93165972116835
34,-1.4454744736160468,25.984738481299303,0.03086036,46.34127,1.4763348336160467,20.3565315187007
35,-1.3218328245707875,26.9769584705978,0.03408031,47.75704,1.3559131345707875,20.780081529402203
36,-1.3432546863817614,25.977657584171194,0.03359221,49.17963,1.3768468963817613,23.20197241582881
37,-1.0587393804586736,26.935726160810415,0.03175532,50.60218,1.0904947004586736,23.666453839189582
38,-0.9548976741878776,27.931436401785366,0.02895795,52.02831,0.9838556241878776,24.096873598214632
39,-0.7900815845407707,28.90688209905326,0.02536977,53.45716,0.8154513545407707,24.550277900946742
40,-0.666213698455374,29.89899668067642,0.02082938,54.88464,0.687043078455374,24.98564331932358
41,-0.5062537027601912,30.885932430531838,0.0168087,56.3166,0.5230624027601912,25.430667569468163
42,-0.73527061221322,29.912520559663104,0.0132291,57.7455,0.74849971221322,27.832979440336896
43,-0.5592582014510252,30.896298091335346,0.01007535,59.17365,0.5693335514510253,28.277351908664656
44,-0.37127162977319184,31.878304142200484,0.006524255,60.60318,0.3777958847731918,28.724875857799518
45,-0.19650271069595368,32.85929528981138,0.00276421,62.02795,0.19926692069595367,29.16865471018862
46,-0.0458046607496726,33.84534743884095,-0.001308243,63.45198,0.0444964177496726,29.606632561159046
47,0.03166991592358248,34.841545222263996,-0.002873604,64.87187,0.03454351992358248,30.030324777736006
48,-0.05902247486159665,33.845752816795816,-0.005953934,66.2894,0.053068540861596646,32.443647183204185
49,-0.08977306824777331,34.84527833017746,-0.01002031,67.70311,0.07975275824777331,32.85783166982254
50,-0.09384240559921628,35.84407980991221,-0.0193644,69.11593,0.07447800559921627,33.2718501900878
51,0.26101749842317845,36.49322009531663,-0.02702275,70.53,0.28804024842317844,34.03677990468337
52,0.4535567201252535,37.46785704462914,-0.03513442,71.93978,0.4886911401252535,34.47192295537086
53,0.2764544381511105,38.39165611214984,-0.0421465,73.33986,0.31860093815111046,34.94820388785016
54,-0.3374619543121403,37.6060465562796,-0.04677589,74.74245,0.29068606431214034,37.136403443720404
55,-0.06352990400513486,38.553245865505815,-0.05327678,76.1445,0.01025312400513486,37.59125413449418
56,0.14013111189452285,39.53222330292017,-0.05458511,77.54079,0.19471622189452284,38.00856669707983
57,0.33138522494747313,40.507553416253025,-0.05287325,78.93496,0.3842584749474731,38.42740658374698
58,0.548160809283315,41.482383441415124,-0.0495425,80.32545,0.597703309283315,38.84306655858488
