Frame,Predicted_X,Predicted_Z,Ground_Truth_X,Ground_Truth_Z,Error_X,Error_Z
0,0.40460201679213126,0.938916651588633,5.551115e-17,2.220446e-16,0.4046020167921312,0.9389166515886328
1,0.1911522673176273,1.933027184285614,-0.004596714,0.09154274,0.1957489813176273,1.841484444285614
2,0.5970917404904853,2.8808344564998185,-0.01001116,0.1857373,0.6071029004904853,2.6950971564998185
3,0.5416753293124816,1.9190261949165197,-0.01753371,0.2834672,0.5592090393124817,1.6355589949165197
4,0.2406547588596336,2.8930326924704493,-0.02863192,0.38731,0.2692866788596336,2.5057226924704494
5,-0.03684166405444095,3.9462595311195017,-0.04273697,0.5011396,0.005895305945559051,3.4451199311195015
6,0.44201199708876243,3.0793733895687154,-0.06000009,0.6279359,0.5020120870887624,2.4514374895687157
7,0.3121762343403382,4.107829541191712,-0.08275693,0.7669396,0.3949331643403382,3.3408899411917115
8,0.03166423828457843,5.077836195766689,-0.1090497,0.9191805,0.14071393828457843,4.158655695766688
9,0.11823132875060459,6.092051130242941,-0.1415335,1.081913,0.2597648287506046,5.010138130242941
10,-0.2838801034288157,7.067923049113076,-0.1816057,1.251378,0.10227440342881569,5.816545049113076
11,-0.49962461449562257,8.092037035307904,-0.2325643,1.425643,0.26706031449562256,6.666394035307904
12,-0.022238147064765512,7.1853885889884435,-0.293459,1.60414,0.2712208529352345,5.581248588988443
13,-0.4693895657595419,8.12017952549619,-0.3616512,1.78864,0.10773836575954188,6.331539525496191
14,-0.9273410609809436,9.096410293770777,-0.4366243,1.979231,0.4907167609809436,7.117179293770777
15,-0.3898515008451293,8.259674828078625,-0.5224919,2.17302,0.1326403991548707,6.086654828078625
16,-1.0693475961595433,9.099720133054431,-0.620094,2.368741,0.4492535961595433,6.730979133054431
17,-0.7333861337848849,8.147639773813427,-0.7248452,2.565689,0.008540933784884963,5.5819507738134275
18,-1.0748194881365223,9.189421614640867,-0.8394934,2.758285,0.23532608813652234,6.4311366146408675
19,-1.4764842610576918,10.166545035109474,-0.9687591,2.950416,0.5077251610576918,7.216129035109473
20,-2.131806390826564,10.97534428032186,-1.103633,3.142085,1.028173390826564,7.83325928032186
21,-2.6513418994609337,11.87967650971667,-1.242764,3.333105,1.4085778994609337,8.54657150971667
